Epoch,Accuracy,Total_G_FPO,Total_GB_Data,Weight_Entropy,ID_L1,Time_s
1,95.58,3139.5,51.17168,4.248476765667781,8.95158002930715,5.1451380252838135
2,96.24,6279.0,102.34336,4.226782186145965,12.325609056285733,10.064548969268799
3,96.89,9418.5,153.51504,4.227997190100589,10.832750605101122,14.95744013786316
4,97.06,12558.0,204.68672,4.237059024945158,8.172164942628507,19.908913612365723
5,97.47,15697.5,255.8584,4.304021722507449,11.947276281105815,24.8545024394989
6,97.44,18837.0,307.03008,4.282073390069094,10.415547492410226,29.770936489105225
7,97.68,21976.5,358.20176,4.20597025298668,9.499369245926143,34.73267602920532
8,97.82,25116.0,409.37344,4.107362805007187,9.232950217885355,39.63925504684448
9,97.87,28255.5,460.54512,4.0208459429845895,9.694354129844543,44.58893942832947
10,97.71,31395.0,511.7168,3.9563035031947082,9.266178073578814,49.52993416786194
