epoch,train_acc,test_acc,epoch_time,epoch_synops,cumulative_synops
0,57.00540288153682,64.51322115384616,391.07638001441956,194617782616.0,194617782616.0
1,69.71551494130203,69.2608173076923,375.20068645477295,258277345718.0,452895128334.0
2,71.6165288153682,69.31089743589743,358.2899794578552,264857003266.0,717752131600.0
3,72.33524546424759,70.4326923076923,358.16149401664734,268281884094.0,986034015694.0
4,72.12846851654216,68.53966346153847,356.23977637290955,257745439824.0,1243779455518.0
5,72.05676360725721,67.4579326923077,355.6102373600006,259424758802.0,1503204214320.0
6,72.08177694770545,71.04366987179488,355.58760023117065,260246336756.0,1763450551076.0
7,71.96338046958378,70.89342948717949,354.7579381465912,260044855392.0,2023495406468.0
8,71.88333778014942,70.56290064102564,355.6342351436615,261729008654.0,2285224415122.0
9,71.6548826040555,68.0889423076923,357.5570766925812,263805844534.0,2549030259656.0
