dataset,epoch,train_acc,test_acc,time,synops
MNIST,0,78.75700373532551,9.805689102564102,54.87776708602905,220796000.0
MNIST,1,79.81756937033084,9.805689102564102,54.25932741165161,221537000.0
MNIST,2,79.8209044823906,9.805689102564102,54.04623556137085,215991500.0
MNIST,3,79.81756937033084,9.805689102564102,54.50855016708374,215565000.0
MNIST,4,79.82257203842049,9.805689102564102,56.250569581985474,215589000.0
MNIST,5,79.81923692636073,9.805689102564102,59.22721815109253,215580000.0
MNIST,6,79.82257203842049,9.805689102564102,54.35620641708374,215585000.0
MNIST,7,79.82257203842049,9.805689102564102,53.328473806381226,215621000.0
MNIST,8,79.81923692636073,9.805689102564102,53.156940937042236,213662500.0
MNIST,9,79.81923692636073,9.805689102564102,53.103525161743164,209730000.0
